

admin@DESKTOP-CTAGE42 MSYS /d/AlBrowserDownloads/cryptopp600a
mingw32 mingw-w64-i686-cppunit 1.13.2-5
mingw32 mingw-w64-i686-creduce 2.4.0-1
mingw32 mingw-w64-i686-crt-git 6.0.0.5136.897300fe-1
mingw32 mingw-w64-i686-crypto++ 5.6.5-1
mingw32 mingw-w64-i686-csfml 2.4-1
mingw32 mingw-w64-i686-ctags 5.8-5
mingw32 mingw-w64-i686-ctpl-git 0.3.3.391.6dd5c14-1
mingw32 mingw-w64-i686-cunit 2.1.3-3
mingw32 mingw-w64-i686-curl 7.59.0-2
mingw32 mingw-w64-i686-cyrus-sasl 2.1.27.rc7-1
mingw32 mingw-w64-i686-cython 0.28.3-1
mingw32 mingw-w64-i686-cython2 0.28.3-1
mingw32 mingw-w64-i686-d-feet 0.3.10-1
mingw32 mingw-w64-i686-daala-git r1505.52bbd43-1
mingw32 mingw-w64-i686-db 6.0.19-3
mingw32 mingw-w64-i686-dbus 1.10.16-1
mingw32 mingw-w64-i686-dbus-glib 0.108-1
mingw32 mingw-w64-i686-dcadec 0.2.0-2
mingw32 mingw-w64-i686-desktop-file-utils 0.23-1
mingw32 mingw-w64-i686-devcon-git r233.8b17cf3-1
mingw32 mingw-w64-i686-devhelp 3.8.2-2
mingw32 mingw-w64-i686-devil 1.8.0-3
mingw32 mingw-w64-i686-diffutils 3.3-2
mingw32 mingw-w64-i686-discount 2.2.3a-1
mingw32 mingw-w64-i686-distorm 3.3.4-1
mingw32 mingw-w64-i686-djview 4.10.6-1
mingw32 mingw-w64-i686-djvulibre 3.5.27-3
mingw32 mingw-w64-i686-dlfcn 1.1.1-1
mingw32 mingw-w64-i686-dlib 19.9-1
mingw32 mingw-w64-i686-dmake 4.12.2-6
mingw32 mingw-w64-i686-dnscrypt-proxy 1.6.0-2
mingw32 mingw-w64-i686-docbook-dsssl 1.79-1
mingw32 mingw-w64-i686-docbook-mathml 1.1CR1-1
mingw32 mingw-w64-i686-docbook-sgml 4.5-1
